Id_Cliente,Frecuencia_Compra,Monto_Anual_Gastado,Cluster
EBS-0458,3,41587.56622669478,1
EBS-0459,21,285602.9489150881,2
EBS-0460,10,448090.023423778,0
EBS-0461,24,271001.44763368805,2
EBS-0462,21,295239.98601271235,2
EBS-0463,12,441323.8317072424,0
EBS-0464,11,452538.43614313327,0
EBS-0465,21,295012.7696841676,2
EBS-0466,23,265580.9784568309,2
EBS-0467,21,258001.3427370127,2
EBS-0468,4,39650.94450257252,1
EBS-0469,23,283964.51335964043,2
EBS-0470,9,452979.37812548527,0
EBS-0471,2,42126.231684880935,1
EBS-0472,10,460286.7581612868,0
EBS-0473,10,445647.8419690387,0
EBS-0474,2,49207.98491753795,1
EBS-0475,2,40932.907963151534,1
EBS-0476,21,255560.7818198026,2
EBS-0477,4,33785.739630269745,1
EBS-0478,8,453653.3785869602,0
EBS-0479,22,278475.6877246391,2
EBS-0480,10,455604.7587909348,0
EBS-0481,4,64043.42160580273,1
EBS-0482,22,278022.31355867296,2
EBS-0483,3,41812.89001802013,1
EBS-0484,21,269727.7400025976,2
EBS-0485,22,277863.68858369306,2
EBS-0486,10,456171.1792428883,0
EBS-0487,22,284573.1191734891,2
EBS-0488,2,59127.48012475981,1
EBS-0489,11,428732.9044362431,0
EBS-0490,9,434621.512356412,0
EBS-0491,10,461574.7748586805,0
EBS-0492,21,270391.4842990079,2
EBS-0493,10,465491.3089421062,0
EBS-0494,3,59476.29356848799,1
EBS-0495,9,454164.22813419485,0
EBS-0496,3,31413.88490227324,1
EBS-0497,22,274730.99734533846,2
EBS-0498,22,252461.1657580998,2
EBS-0499,3,53556.47650543076,1
EBS-0500,1,34519.84225830072,1
EBS-0501,3,44047.36845775638,1
EBS-0502,9,458219.19031694,0
EBS-0503,3,64804.95367956843,1
EBS-0504,10,444631.0330535913,0
EBS-0505,10,472266.3331199724,0
EBS-0506,22,280440.98410338856,2
EBS-0507,10,439543.05191193154,0
EBS-0508,20,294507.76090779057,2
EBS-0509,8,453414.23566948745,0
EBS-0510,22,278223.53969500115,2
EBS-0511,11,446928.7581160924,0
EBS-0512,2,52319.68627950651,1
EBS-0513,23,287700.0152268669,2
EBS-0514,10,451229.26579964085,0
EBS-0515,3,43828.07800309651,1
EBS-0516,21,262082.8563827099,2
EBS-0517,3,52769.15272543918,1
EBS-0518,10,426770.197860624,0
EBS-0519,10,442469.2147475828,0
EBS-0520,8,444392.1178646586,0
EBS-0521,9,444696.8982342456,0
EBS-0522,10,472360.5154835564,0
EBS-0523,11,445886.679059248,0
EBS-0524,23,285104.1880269732,2
EBS-0525,4,48588.08741375923,1
EBS-0526,10,448490.61156377743,0
EBS-0527,21,286411.37120088254,2
EBS-0528,23,274734.9493941412,2
EBS-0529,21,263560.0607509817,2
EBS-0530,9,459700.4018141592,0
EBS-0531,10,459065.7841023826,0
EBS-0532,20,255970.4826228101,2
EBS-0533,10,439132.62898946943,0
EBS-0534,1,33033.44585835921,1
EBS-0535,21,266350.4199031704,2
EBS-0536,10,455402.0551906541,0
EBS-0537,9,452729.7774159373,0
EBS-0538,23,271386.38768293976,2
EBS-0539,22,253354.44145260964,2
EBS-0540,4,56339.31403192783,1
EBS-0541,2,44489.09942431433,1
EBS-0542,2,49898.45499592262,1
EBS-0543,3,34291.94339615411,1
EBS-0544,10,430587.4411493293,0
EBS-0545,1,43711.35097759094,1
EBS-0546,8,446605.02930354,0
EBS-0547,11,464452.8907672965,0
EBS-0548,10,438654.14117223886,0
EBS-0549,2,49815.24039662104,1
EBS-0550,4,54736.46420113402,1
EBS-0551,2,48722.41229345285,1
EBS-0552,9,457316.8365836733,0
EBS-0553,10,460708.4395054719,0
EBS-0554,11,455244.5610780009,0
EBS-0555,9,430052.24236077885,0
EBS-0556,9,446185.3868121688,0
EBS-0557,3,59445.42355656536,1
EBS-0558,22,292902.48005669104,2
EBS-0559,10,439519.8892843501,0
EBS-0560,10,442793.85051094886,0
EBS-0561,10,437016.18123807886,0
EBS-0562,10,441496.69989880855,0
EBS-0563,10,450144.3935918218,0
EBS-0564,8,453437.3559224748,0
EBS-0565,2,49687.52473144508,1
EBS-0566,3,37853.90004073661,1
EBS-0567,20,281661.0738735259,2
EBS-0568,23,274717.72776413336,2
EBS-0569,10,449235.92552437406,0
EBS-0570,7,438059.35793393536,0
EBS-0571,21,264005.17245605635,2
EBS-0572,21,246843.7803053995,2
EBS-0573,3,74839.75205740074,1
EBS-0574,2,24458.0709948565,1
EBS-0575,9,451671.31420700887,0
EBS-0576,3,43104.08502557262,1
EBS-0577,2,52783.28474462795,1
EBS-0578,3,45422.4678468062,1
EBS-0579,21,254333.61915621115,2
EBS-0580,11,451336.0932182274,0
EBS-0581,3,35158.556575753886,1
EBS-0582,2,64799.38682919269,1
EBS-0583,3,53899.27100099567,1
EBS-0584,9,454016.4318199634,0
EBS-0585,2,36842.08779219046,1
EBS-0586,9,460662.998071499,0
EBS-0587,2,10865.22272019679,1
EBS-0588,22,259231.70923494,2
EBS-0589,22,235438.25937584296,2
EBS-0590,4,52038.22566677956,1
EBS-0591,2,44884.15273455231,1
EBS-0592,2,46288.21495586423,1
EBS-0593,2,48437.72569573626,1
EBS-0594,10,469529.5882233936,0
EBS-0595,22,303883.1547041735,2
EBS-0596,21,268379.9913241648,2
EBS-0597,12,440803.7472118597,0
EBS-0598,22,255278.97259324047,2
EBS-0599,11,444487.17675418494,0
EBS-0600,21,280259.8261599369,2
EBS-0601,21,268651.388008244,2
EBS-0602,20,293766.8559720763,2
EBS-0603,22,289102.0046627064,2
EBS-0604,11,448201.923221894,0
EBS-0605,3,37775.07984848629,1
EBS-0606,4,45109.88252867634,1
EBS-0607,21,244879.17948483452,2
EBS-0608,9,433507.4340716878,0
EBS-0609,3,53859.99081043346,1
EBS-0610,11,457913.63250257313,0
EBS-0611,10,449092.1990143597,0
EBS-0612,2,48522.83031427266,1
EBS-0613,9,444919.44437835686,0
EBS-0614,2,35003.933524867505,1
EBS-0615,4,26229.609456754413,1
EBS-0616,23,279305.76403363043,2
EBS-0617,3,39088.48008726067,1
EBS-0618,9,449471.8135512749,0
EBS-0619,10,447245.2463207239,0
EBS-0620,3,36594.73386186198,1
EBS-0621,21,263802.42385687423,2
EBS-0622,21,271498.20879617846,2
EBS-0623,11,435348.7703575187,0
EBS-0624,8,464931.7512279093,0
EBS-0625,3,58823.87695551703,1
EBS-0626,2,49689.16309783721,1
EBS-0627,23,257662.55718489664,2
EBS-0628,3,44138.72359883075,1
EBS-0629,22,303206.9029744048,2
EBS-0630,10,443398.5750538169,0
EBS-0631,22,283060.0252353763,2
EBS-0632,4,49077.70978501932,1
EBS-0633,3,55158.99879841359,1
EBS-0634,10,456200.8868432651,0
EBS-0635,11,424736.76066664624,0
EBS-0636,2,44158.034150035295,1
EBS-0637,11,461123.6548576661,0
EBS-0638,21,256677.08273355765,2
EBS-0639,3,67977.50253192097,1
EBS-0640,22,246290.8851988565,2
EBS-0641,2,46873.30001559218,1
EBS-0642,21,283444.13646687655,2
EBS-0643,9,461945.8196464826,0
EBS-0644,23,266393.4867858662,2
EBS-0645,3,58174.11725457553,1
EBS-0646,10,463199.8873134382,0
EBS-0647,8,470069.4789124734,0
EBS-0648,21,284169.46374093444,2
EBS-0649,3,42684.91419780954,1
EBS-0650,3,53029.79445938015,1
EBS-0651,22,266767.87398098607,2
EBS-0652,21,255417.85875834836,2
EBS-0653,2,36025.310818395374,1
EBS-0654,2,28119.12241228027,1
EBS-0655,21,275004.6969581057,2
EBS-0656,2,48127.02630890036,1
EBS-0657,10,445722.7301369616,0
EBS-0658,11,456212.70892551047,0
EBS-0659,21,244872.835446679,2
EBS-0660,10,435564.3171150877,0
EBS-0661,21,265477.6374225554,2
EBS-0662,3,42644.44334528888,1
EBS-0663,11,475319.41166508646,0
EBS-0664,3,42858.375751162566,1
EBS-0665,21,276635.807821043,2
EBS-0666,21,279238.19422327,2
EBS-0667,8,443928.1458120341,0
EBS-0668,11,462266.3862328437,0
EBS-0669,2,37233.94768277858,1
EBS-0670,9,477643.18484301394,0
EBS-0671,22,257704.9821263961,2
EBS-0672,21,273816.2851741757,2
EBS-0673,3,37795.74087565129,1
EBS-0674,11,433541.7028156014,0
EBS-0675,3,48319.71495293336,1
EBS-0676,2,45951.60453902115,1
EBS-0677,3,38097.85585312564,1
EBS-0678,23,283364.15476402774,2
EBS-0679,2,51934.86254494408,1
EBS-0680,10,467670.3815305947,0
EBS-0681,22,269884.7978308004,2
EBS-0682,4,55893.249482332096,1
EBS-0683,21,277012.1184434109,2
EBS-0684,11,443742.6670099897,0
EBS-0685,21,278436.61282396584,2
EBS-0686,9,435261.91073700687,0
EBS-0687,21,277608.4469823588,2
EBS-0688,22,256006.40390022247,2
EBS-0689,11,462896.8313423005,0
EBS-0690,9,447142.2640379173,0
EBS-0691,3,47583.07163352362,1
EBS-0692,21,262336.7664140824,2
EBS-0693,10,451666.0045167423,0
EBS-0694,21,272562.889499154,2
EBS-0695,10,460137.3253475437,0
EBS-0696,21,253932.42345014372,2
EBS-0697,22,250126.62915013212,2
EBS-0698,3,53283.49781725308,1
EBS-0699,10,477427.4523038192,0
EBS-0700,3,29077.183884671857,1
EBS-0701,10,444808.1030242416,0
EBS-0702,4,52356.104562294975,1
EBS-0703,20,262938.436858392,2
EBS-0704,20,276156.2336666304,2
EBS-0705,21,270965.5090515333,2
EBS-0706,2,69890.57240659464,1
EBS-0707,22,274859.1185350287,2
EBS-0708,3,45469.08662827041,1
EBS-0709,20,294441.498120209,2
EBS-0710,20,253623.50255050097,2
EBS-0711,2,50371.022824245294,1
EBS-0712,3,53707.69891150169,1
EBS-0713,12,464181.90813833725,0
EBS-0714,11,440646.4668718855,0
EBS-0715,3,25136.8799616222,1
EBS-0716,3,67861.98567621606,1
EBS-0717,10,437921.50074865104,0
EBS-0718,21,270572.67696546885,2
EBS-0719,3,37793.47665384812,1
EBS-0720,21,271615.486321574,2
EBS-0721,11,445110.6901169228,0
EBS-0722,23,265190.7223881243,2
EBS-0723,21,282870.476713186,2
EBS-0724,3,57641.14607389131,1
EBS-0725,10,460182.30661374726,0
EBS-0726,9,432482.330472499,0
EBS-0727,2,67646.89861458515,1
EBS-0728,23,263468.5735954342,2
EBS-0729,3,45199.59824228518,1
EBS-0730,9,440999.654353529,0
EBS-0731,10,470170.4291147185,0
EBS-0732,2,47160.12918951178,1
EBS-0733,21,274686.4243910912,2
EBS-0734,10,453912.7226659629,0
EBS-0735,22,282807.4604396498,2
